id,code,role,first_name,last_name,full_name,gender,birth_date,age,phone,telegram,school,grade,district,group_id,group_name,course_code,mentor_id,tutor_id,curator_id,parent_full_name,parent_relation,parent_phone,parent_telegram,parent_preferred_contact,enrolled_at,monthly_fee,status,attendance_total_lessons,attendance_present,attendance_late,attendance_absent,attendance_absent_excused,attendance_absent_unexcused,attendance_attendance_rate,attendance_punctuality_rate,attendance_missed_covered_by_makeup,attendance_missed_not_covered,attendance_is_behind,homework_assigned,homework_submitted,homework_on_time,homework_late,homework_not_submitted,homework_submission_rate,homework_on_time_rate,homework_avg_score,homework_best_score,coins_balance,coins_total_earned,coins_total_spent,coins_rank_overall,coins_rank_in_group,tutor_sessions_count,makeup_count,performance_score,performance_label,risk_level
1,STU-10001,student,Bobur,Umarov,Bobur Umarov,male,2011-05-08,15,+998945144951,@bobur_579,124-son maktab,9,Yakkasaroy,1,FE-BAS-001,FE-BAS,14,117,208,Bekzod Umarov,Ota,+998885674193,@bekzod423,phone,2026-02-02,650000,active,75,60,8,7,2,5,90.7,80.0,4,3,False,64,50,36,14,14,78.1,56.2,65.1,87,1475,1495,25,37,1,4,4,78.0,Yaxshi,low
2,STU-10002,student,Javohir,Umarov,Javohir Umarov,male,2011-11-21,15,+998988055773,@javohir_6036,110-son maktab,9,Yashnobod,1,FE-BAS-001,FE-BAS,14,117,208,Zilola Umarova,Ona,+998948118948,@zilola479,phone,2026-02-02,650000,active,75,56,9,10,5,5,86.7,74.7,6,4,True,64,55,41,14,9,85.9,64.1,69.3,95,1349,1624,275,59,2,2,6,80.4,Yaxshi,low
3,STU-10003,student,Anvar,Toshmatov,Anvar Toshmatov,male,2013-08-07,13,+998972828851,@anvar_8222,33-son maktab,7,Yashnobod,1,FE-BAS-001,FE-BAS,14,117,208,Laylo Toshmatova,Ona,+998948803319,@laylo326,telegram,2026-02-02,650000,active,75,61,4,10,2,8,86.7,81.3,6,4,True,62,54,35,19,8,87.1,56.5,63.6,87,628,1428,800,183,5,6,6,78.7,Yaxshi,low
4,STU-10004,student,Aziz,Mirzayev,Aziz Mirzayev,male,2011-01-07,15,+998982899274,@aziz_1400,33-son maktab,9,Olmazor,1,FE-BAS-001,FE-BAS,14,117,208,Ulug'bek Mirzayev,Ota,+998902008902,@ulugbek288,sms,2026-02-02,650000,active,75,65,3,7,3,4,90.7,86.7,7,0,False,67,63,51,12,4,94.0,76.1,79.5,100,1143,2173,1030,85,3,3,7,87.8,Yaxshi,low
5,STU-10005,student,Xasan,Tolipov,Xasan Tolipov,male,2014-05-22,12,+998972354977,@xasan_5858,124-son maktab,6,Yunusobod,1,FE-BAS-001,FE-BAS,14,117,208,Yulduz Tolipova,Ona,+998988422830,@yulduz273,telegram,2026-02-02,650000,active,75,69,3,3,1,2,96.0,92.0,1,2,False,68,67,63,4,1,98.5,92.6,89.9,100,719,2959,2240,166,4,0,1,94.6,A'lo,low
6,STU-10006,student,Sanjar,Rustamov,Sanjar Rustamov,male,2012-05-27,14,+998988961365,@sanjar_596,124-son maktab,8,Yashnobod,1,FE-BAS-001,FE-BAS,14,117,208,Zilola Rustamova,Ona,+998884283566,@zilola481,sms,2026-02-02,650000,active,75,66,5,4,3,1,94.7,88.0,4,0,False,68,63,56,7,5,92.6,82.4,78.7,95,480,2085,1605,230,8,2,4,88.5,A'lo,low
7,STU-10007,student,Laylo,Ashurova,Laylo Ashurova,female,2014-07-02,12,+998987089698,@laylo_4561,89-son maktab,6,Bektemir,1,FE-BAS-001,FE-BAS,14,117,208,Zilola Ashurovaa,Ona,+998974270574,@zilola865,telegram,2026-02-02,650000,active,75,41,10,24,12,12,68.0,54.7,10,14,True,59,33,8,25,26,55.9,13.6,45.5,66,492,932,440,225,7,8,10,56.5,Past,high
8,STU-10008,student,Xurshid,Xasanov,Xurshid Xasanov,male,2012-01-24,14,+998995211866,@xurshid_7144,178-son maktab,8,Mirzo Ulug'bek,1,FE-BAS-001,FE-BAS,14,117,208,Javohir Xasanov,Ota,+998918972349,@javohir832,sms,2026-02-02,650000,active,75,34,5,36,10,26,52.0,45.3,7,29,True,46,16,5,11,30,34.8,10.9,35.2,53,509,634,130,218,6,5,7,41.0,Past,high
9,STU-10009,student,Shahzoda,Karimova,Shahzoda Karimova,female,2012-12-25,14,+998993683304,@shahzoda_4151,124-son maktab,8,Yunusobod,1,FE-BAS-001,FE-BAS,14,117,208,Islom Karimova,Ota,+998988730625,@islom470,telegram,2026-02-02,650000,active,75,54,9,12,8,4,84.0,72.0,10,2,False,65,56,41,15,9,86.2,63.1,66.2,86,322,1542,1220,270,9,5,10,78.4,Yaxshi,medium
10,STU-10010,student,Husan,Nematov,Husan Nematov,male,2013-07-04,13,+998883905677,@husan_3937,24-son maktab,7,Sergeli,2,FE-BAS-002,FE-BAS,2,103,203,Muhammadali Nematov,Ota,+998942617702,@muhammadali531,sms,2026-02-02,650000,active,75,35,10,30,6,24,60.0,46.7,13,17,True,47,20,6,14,27,42.6,12.8,39.0,62,565,685,120,200,8,12,13,47.4,Past,high
11,STU-10011,student,Islom,Qodirov,Islom Qodirov,male,2012-05-09,14,+998943572319,@islom_4709,45-son maktab,8,Olmazor,2,FE-BAS-002,FE-BAS,2,103,203,Ozoda Qodirova,Ona,+998974341855,@ozoda549,phone,2026-02-02,650000,active,75,69,5,1,0,1,98.7,92.0,1,0,False,68,63,46,17,5,92.6,67.6,76.3,96,1939,2194,255,10,1,3,1,89.0,A'lo,low
12,STU-10012,student,Muhammadali,Alimov,Muhammadali Alimov,male,2010-09-08,16,+998981677159,@muhammadali_4911,52-son maktab,10,Yunusobod,2,FE-BAS-002,FE-BAS,2,103,203,Abror Alimov,Ota,+998911075364,@abror586,phone,2026-02-02,650000,active,75,50,12,13,5,8,82.7,66.7,5,8,True,62,32,12,20,30,51.6,19.4,49.1,82,598,938,340,192,7,10,5,61.6,Qoniqarli,medium
13,STU-10013,student,Rustam,Toshmatov,Rustam Toshmatov,male,2012-09-28,14,+998986704531,@rustam_2416,7-son maktab,8,Yashnobod,2,FE-BAS-002,FE-BAS,2,103,203,Umar Toshmatov,Ota,+998902774694,@umar752,telegram,2026-02-02,650000,active,75,65,5,5,2,3,93.3,86.7,2,3,False,68,61,51,10,7,89.7,75.0,79.1,97,833,2108,1275,133,3,3,2,87.2,Yaxshi,low
